id,original_title,cast,director,keywords,runtime,genres,vote_average,release_year
302,swimming pool,Charlotte Rampling Ludivine Sagnier Charles Dance Jean-Marie Lamour Marc Fayolle,FranÃ§ois Ozon,london female nudity women countryside based on novel,102,Thriller Crime,6.2,2003
10133,cypher,Jeremy Northam Lucy Liu Nigel Bennett Timothy Webber David Hewlett,Vincenzo Natali,double life undercover lie wife company,95,Thriller Science Fiction Mystery,6.6,2003
13370,a mighty wind,Bob Balaban Christopher Guest John Michael Higgins Eugene Levy Jane Lynch,Christopher Guest,mockumentary folk singer,91,Comedy Music,6.5,2003
15708,latter days,Steve Sandvoss Wes Ramsey Jacqueline Bisset Joseph Gordon-Levitt Rebekah Johnson,C. Jay Cox,gay coming out mormon,107,Drama Comedy Romance,6.4,2003
16941,intermission,Colin Farrell Colm Meaney Kelly Macdonald Cillian Murphy BrÃ­an F. O'Byrne,John Crowley,suspense thriller independent film,105,Romance Action Comedy Crime Mystery,5.5,2003
8696,calendar girls,Helen Mirren Julie Walters John Alderton Linda Bassett Annette Crosbie,Nigel Cole,female nudity england mannequin leukemia calendar,108,Comedy,6.5,2003
14527,foolproof,Ryan Reynolds Kristin Booth Joris Jarsky David Suchet Sean Sullivan,William Phillips,gun blackmail heist,97,Action,6.4,2003
5204,kontroll,SÃ¡ndor CsÃ¡nyi Csaba Pindroch ZoltÃ¡n Mucsi SÃ¡ndor BadÃ¡r Zsolt Nagy,NimrÃ³d Antal,budapest subway,105,Comedy Crime Thriller,6.6,2003
12253,biker boyz,Laurence Fishburne Derek Luke Orlando Jones Djimon Hounsou Lisa Bonet,Reggie Rock Bythewood,father-son relationship loss of father biker gang motorcycle racing,110,Action Drama,5.8,2003
24982,ghosts of the abyss,Bill Paxton John Broadwater James Cameron Mike Cameron Ken Marschall,James Cameron,diving expedition shipwreck titanic title spoken by character,92,Family Documentary,6.7,2003
12146,the missing,Tommy Lee Jones Cate Blanchett Evan Rachel Wood Jenna Boyd Aaron Eckhart,Ron Howard,new mexico apache baby-snatching daughter criminal,135,Thriller Western Adventure,5.8,2003
192936,frank herbert s children of dune,Alec Newman Susan Sarandon James McAvoy Julie Cox Ian McNeice,Greg Yaitanes,prophecy telepathy sandstorm title of nobility world religion,248,Drama Science Fiction Fantasy Adventure,6.5,2003
10744,the cooler,William H. Macy Alec Baldwin Maria Bello Shawn Hatosy Paul Sorvino,Wayne Kramer,casino jinx bad luck,101,Drama Romance,6.5,2003
10629,veronica guerin,Cate Blanchett Gerard McSorley CiarÃ¡n Hinds Brenda Fricker Don Wycherley,Joel Schumacher,journalism police drug scene murder drug lord,98,Drama Crime Thriller,6.7,2003
36658,x2,Patrick Stewart Hugh Jackman Ian McKellen Halle Berry Famke Janssen,Bryan Singer,mutant marvel comic based on comic book superhuman storm,133,Adventure Action Science Fiction Thriller,6.7,2003
4997,wonderland,Val Kilmer Dylan McDermott Kate Bosworth Josh Lucas Lisa Kudrow,James Cox,robbery junkie investigation porno star murder,104,Crime Drama Mystery Thriller,6.4,2003
28200,sylvia,Gwyneth Paltrow Daniel Craig Jared Harris Michael Gambon Blythe Danner,Christine Jeffs,beach infidelity boat writing biography,109,Drama Romance,5.6,2003
597,titanic,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,James Cameron,shipwreck iceberg ship panic titanic,194,Drama Romance Thriller,7.3,1997
11970,hercules,Tate Donovan Josh Keaton Roger Bart Danny DeVito James Woods,John Musker|Ron Clements,hades musical peasant olymp animation,93,Animation Family Fantasy Adventure Comedy,7.0,1997
607,men in black,Tommy Lee Jones Will Smith Linda Fiorentino Vincent D'Onofrio Rip Torn,Barry Sonnenfeld,secret identity sun glasses undercover space marine illegal immigration,98,Action Adventure Comedy Science Fiction,6.7,1997
782,gattaca,Ethan Hawke Jude Law Gore Vidal Uma Thurman Alan Arkin,Andrew Niccol,paraplegic suicide attempt cheating dna spaceman,106,Thriller Science Fiction Mystery Romance,7.3,1997
18,the fifth element,Bruce Willis Gary Oldman Ian Holm Milla Jovovich Chris Tucker,Luc Besson,secret passage clone taxi future stowaway,126,Adventure Fantasy Action Thriller Science Fiction,7.1,1997
25571,drive,Mark Dacascos Kadeem Hardison John Pyper-Ferguson Brittany Murphy Tracey Walter,Steve Wang,electromagnetic pulse virtual reality independent film boarding house boat chase,100,Action Adventure Science Fiction Comedy,6.3,1997
714,tomorrow never dies,Pierce Brosnan Jonathan Pryce Michelle Yeoh Teri Hatcher Ricky Jay,Roger Spottiswoode,london england spy china news broadcast,119,Adventure Action Thriller,5.9,1997
489,good will hunting,Robin Williams Matt Damon Ben Affleck Stellan SkarsgÃ¥rd Minnie Driver,Gus Van Sant,sex baseball boston professor m.i.t.,126,Drama,7.7,1997
184,jackie brown,Pam Grier Samuel L. Jackson Robert Forster Bridget Fonda Michael Keaton,Quentin Tarantino,airport underworld arms deal weapon police,154,Action Crime Drama Thriller,7.1,1997
8078,alien resurrection,Sigourney Weaver Winona Ryder Dominique Pinon Ron Perlman Michael Wincott,Jean-Pierre Jeunet,android mercenary dystopia sequel alien,109,Science Fiction Horror Action,5.9,1997
2649,the game,Michael Douglas Sean Penn Deborah Kara Unger James Rebhorn Peter Donat,David Fincher,brother brother relationship birthday danger of life present birthday party,129,Drama Thriller Mystery,7.3,1997
8413,event horizon,Laurence Fishburne Sam Neill Kathleen Quinlan Joely Richardson Richard T. Jones,Paul W.S. Anderson,space marine nudity nightmare hallucination cryogenics,96,Horror Science Fiction Mystery,6.2,1997
9444,anastasia,Meg Ryan John Cusack Christopher Lloyd Angela Lansbury Hank Azaria,Don Bluth|Gary Goldman,tzar musical russian revolution train explosion foreign language adaptation,94,Animation Family,7.2,1997
816,austin powers international man of mystery,Mike Myers Elizabeth Hurley Michael York Mimi Rogers Seth Green,Jay Roach,android undercover missile group therapy airplane,94,Science Fiction Comedy Crime,6.3,1997
563,starship troopers,Casper Van Dien Dina Meyer Denise Richards Jake Busey Neil Patrick Harris,Paul Verhoeven,moon total destruction asteroid space marine liberation of prisoners,129,Adventure Action Thriller Science Fiction,6.5,1997
9427,the full monty,Robert Carlyle Mark Addy William Snape Steve Huison Tom Wilkinson,Peter Cattaneo,suicide attempt striptease steel worker repossession male stripper,91,Comedy,6.4,1997
1701,con air,Nicolas Cage John Cusack John Malkovich Ving Rhames Nick Chinlund,Simon West,prison ambush helicopter airport gas station,115,Action Thriller Crime,6.5,1997
754,face off,John Travolta Nicolas Cage Joan Allen Alessandro Nivola Gina Gershon,John Woo,undercover mexican standoff biological weapon face transplant rage and hate,138,Action Crime Science Fiction Thriller,6.7,1997
9366,donnie brasco,Johnny Depp Al Pacino Michael Madsen Bruno Kirby James Russo,Mike Newell,undercover mafia mobster dirty cop informant,127,Crime Drama Thriller,7.2,1997
3597,i know what you did last summer,Jennifer Love Hewitt Sarah Michelle Gellar Ryan Phillippe Freddie Prinze Jr. Bridgette Wilson,Jim Gillespie,secret blackmail fisherman police high school,100,Horror Thriller Mystery,5.5,1997
1813,the devil s advocate,Keanu Reeves Al Pacino Charlize Theron Jeffrey Jones Judith Ivey,Taylor Hackford,child abuse southern u.s. obsession subway nudity,144,Drama Horror Mystery Thriller,6.9,1997
2255,chasing amy,Ben Affleck Joey Lauren Adams Jason Lee Dwight Ewell Kevin Smith,Kevin Smith,new jersey coming out love of one's life bisexuality menage a trois,113,Comedy Drama Romance,6.7,1997
9619,dante s peak,Pierce Brosnan Linda Hamilton Jamie RenÃ©e Smith Jeremy Foley Elizabeth Hoffman,Roger Donaldson,helicopter small town mayor evacuation motel,108,Action Adventure Thriller,5.5,1997
2118,l a confidential,Kevin Spacey Guy Pearce Danny DeVito James Cromwell Kim Basinger,Curtis Hanson,corruption detective shotgun morgue f word,138,Crime Drama Mystery Thriller,7.5,1997
4233,scream 2,David Arquette Neve Campbell Courteney Cox Sarah Michelle Gellar Jamie Kennedy,Wes Craven,film festivals slaughter slasher,120,Horror Mystery,6.0,1997
686,contact,Jodie Foster Matthew McConaughey James Woods John Hurt Tom Skerritt,Robert Zemeckis,based on novel nasa new mexico extraterrestrial technology prime number,150,Drama Science Fiction Mystery,6.9,1997
9769,lolita,Jeremy Irons Dominique Swain Melanie Griffith Frank Langella Suzanne Shepherd,Adrian Lyne,jealousy secret blackmail professor lolita,137,Drama Romance,6.9,1997
11975,the rainmaker,Matt Damon Danny DeVito Jon Voight Claire Danes Mary Kay Place,Francis Ford Coppola,jurors proof court case leukemia lawyer,135,Drama Crime Thriller,6.5,1997
4824,the jackal,Bruce Willis Richard Gere Sidney Poitier Diane Venora J.K. Simmons,Michael Caton-Jones,fbi cold war hitman,124,Action Thriller Adventure Crime,6.0,1997
10003,the saint,Val Kilmer Elisabeth Shue Rade Serbedzija Henry Goodman Alun Armstrong,Phillip Noyce,berlin russia gas master thief the saint,116,Thriller Action Romance Science Fiction Adventure,6.0,1997
8834,conspiracy theory,Mel Gibson Julia Roberts Patrick Stewart Cylk Cozart Steve Kahan,Richard Donner,new york cia helicopter assassin secret,135,Action Drama Mystery Thriller,6.4,1997
9772,air force one,Harrison Ford Gary Oldman Glenn Close Wendy Crewson William H. Macy,Wolfgang Petersen,prison corruption journalist white house hostage,124,Action Thriller,6.1,1997
586,wag the dog,Dustin Hoffman Robert De Niro Anne Heche Denis Leary Willie Nelson,Barry Levinson,washington d.c. rape cia u.s. president war veteran,97,Comedy Drama,6.6,1997
2898,as good as it gets,Jack Nicholson Helen Hunt Greg Kinnear Cuba Gooding Jr. Skeet Ulrich,James L. Brooks,single parent waitress lone wolf friendship neighbor,139,Comedy Romance,7.0,1997
2163,breakdown,Kurt Russell J. T. Walsh Kathleen Quinlan M.C. Gainey Jack Noseworthy,Jonathan Mostow,california bank ransom donut highway,95,Drama Action Thriller,6.5,1997
978,seven years in tibet,Brad Pitt Jamyang Jamtsho Wangchuk David Thewlis BD Wong Mako,Jean-Jacques Annaud,buddhism himalaya austria buddhist monk world war ii,136,History Drama Adventure War,6.9,1997
8874,my best friend s wedding,Julia Roberts Dermot Mulroney Cameron Diaz Rupert Everett Philip Bosco,P.J. Hogan,karaoke marriage proposal new love love of one's life kiss,105,Comedy Romance,6.3,1997
4995,boogie nights,Mark Wahlberg Burt Reynolds John C. Reilly Julianne Moore Thomas Jane,Paul Thomas Anderson,pornography porn actor pornographic video from rags to riches drug,155,Drama,7.3,1997
638,lost highway,Bill Pullman Patricia Arquette John Roselius Louis Eppolito Robert Blake,David Lynch,schizophrenia prison pornography sadistic dual identity,134,Drama Thriller Mystery,7.3,1997
4477,the devil s own,Harrison Ford Brad Pitt Margaret Colin RubÃ©n Blades Treat Williams,Alan J. Pakula,new york terrorist anonymity northern ireland,107,Crime Thriller Drama,5.8,1997
9437,kiss the girls,Morgan Freeman Ashley Judd Cary Elwes Alex McArthur Tony Goldwyn,Gary Fleder,washington d.c. covered investigation investigation north carolina missing person,115,Drama Mystery Thriller Crime,6.1,1997
66,absolute power,Clint Eastwood Gene Hackman Ed Harris Scott Glenn Laura Linney,Clint Eastwood,corruption assassination washington d.c. rape white house,121,Crime Drama Thriller,6.2,1997
11419,vegas vacation,Chevy Chase Beverly D'Angelo Randy Quaid Ethan Embry Marisol Nichols,Stephen Kessler,gambling chaos roulette family holiday,93,Comedy,6.1,1997
10155,u turn,Sean Penn Nick Nolte Jennifer Lopez Joaquin Phoenix Claire Danes,Oliver Stone,car breakdown wilderness kiss gambling debts car garage,125,Thriller,6.6,1997
6072,one eight seven,"Samuel L. Jackson John Heard Kelly Rowan Clifton Collins, Jr. Tony Plana",Kevin Reynolds,new york high school teacher attack stabbing,119,Drama Thriller,6.4,1997
6623,the peacemaker,George Clooney Nicole Kidman Marcel IureÈ™ Goran Visnjic Armin Mueller-Stahl,Mimi Leder,helicopter terrorist nuclear missile bridge train crash,124,Action Thriller,5.5,1997
9746,kundun,Tenzin Thuthob Tsarong Tencho Gyalpo Tsewang Migyur Khangsar Gyurme Tethong Robert Lin,Martin Scorsese,buddhism china indian mountains buddhist monk,134,Drama,7.1,1997
9922,the postman,Kevin Costner Will Patton Olivia Williams Larenz Tate Tom Petty,Kevin Costner,usa post postman army apocalypse,177,Drama Adventure,6.1,1997
4421,g i jane,Demi Moore Viggo Mortensen Anne Bancroft Jason Beghe Daniel von Bargen,Ridley Scott,female nudity poem middle east helicopter satellite,125,Action Drama,6.0,1997
11015,the relic,Penelope Ann Miller Tom Sizemore Linda Hunt James Whitmore Clayton Rohner,Peter Hyams,chicago indian monster museum pile of dead bodies,110,Horror Thriller Mystery,5.7,1997
8067,a life less ordinary,Ewan McGregor Cameron Diaz Holly Hunter Delroy Lindo Dan Hedaya,Danny Boyle,angel sex robbery based on novel karaoke,103,Fantasy Drama Comedy Thriller Science Fiction,6.3,1997
8675,orgazmo,Trey Parker Dian Bachar Matt Stone Ron Jeremy Michael Dean Jacobs,Trey Parker,pornography sex secret fight star,94,Comedy,6.3,1997
22073,hoodlum,Laurence Fishburne Tim Roth Vanessa Williams Andy GarcÃ­a Cicely Tyson,Bill Duke,dutch blood mobster gangster violence,130,Crime Drama,6.4,1997
6283,mousehunt,Nathan Lane Lee Evans Vicki Lewis Maury Chaykin Eric Christmas,Gore Verbinski,brother brother relationship loss of father mouse house inheritance,98,Comedy Family,6.1,1997
10217,the sweet hereafter,Ian Holm Caerthan Banks Sarah Polley Tom McCamus Gabrielle Rose,Atom Egoyan,canada suffering village paralysis independent film,112,Drama,6.4,1997
2895,the apostle,Robert Duvall Billy Bob Thornton June Carter Cash Farrah Fawcett Miranda Richardson,Robert Duvall,christianity coma jealousy radio station texas,134,Drama,5.4,1997
2142,cop land,Sylvester Stallone Harvey Keitel Ray Liotta Robert De Niro Peter Berg,James Mangold,corruption handcuffs fbi bad cop,104,Action Crime Drama,6.5,1997
9311,smilla s sense of snow,Julia Ormond Gabriel Byrne Richard Harris Jim Broadbent Tom Wilkinson,Bille August,copenhagen inuit comet arctic snow,121,Action Crime Drama Mystery Thriller,6.8,1997
16052,selena,Jennifer Lopez Edward James Olmos Constance Marie Jon Seda Lupe Ontiveros,Gregory Nava,musical tejano elopement bustier fan club,127,Documentary Drama,6.9,1997
68924,the ice storm,Kevin Kline Joan Allen Sigourney Weaver Henry Czerny Tobey Maguire,Ang Lee,based on novel 1970s thanksgiving dysfunctional family independent film,112,Drama,6.3,1997
11676,nothing to lose,Tim Robbins Martin Lawrence John C. McGinley Kelly Preston Irma P. Hall,Steve Oedekerk,infidelity security camera loss crook sociopath,97,Action Adventure Comedy,6.1,1997
10371,for richer or poorer,Tim Allen Kirstie Alley Wayne Knight Larry Miller Jay O. Sanders,Bryan Spicer,new york pennsylvania cheating tax consultant parish hall,115,Comedy,5.8,1997
9407,red corner,Richard Gere Bai Ling Bradley Whitford Byron Mann Peter Donat,Jon Avnet,china death penalty law business man murder,122,Crime Drama Thriller,6.2,1997
9414,the man who knew too little,Bill Murray Peter Gallagher Joanne Whalley Alfred Molina Richard Wilson,Jon Amiel,london bomb brother brother relationship helicopter based on novel,97,Comedy Thriller Crime Action,6.5,1997
35796,lawn dogs,Mischa Barton Sam Rockwell Christopher McDonald Kathleen Quinlan Miles Meehan,John Duigan,sex infidelity lawnmower nudity suspicion,101,Drama,6.8,1997
9403,private parts,Howard Stern Mary McCormack Kelly Bishop Paul Giamatti Leslie Bibb,Betty Thomas,sexuality becoming an adult eroticism radio jew,109,Comedy Drama,6.6,1997
12628,playing god,David Duchovny Timothy Hutton Angelina Jolie Michael Massee Stacey Travis,Andy Wilson,fbi gang war surgeon beautiful woman los angeles,94,Drama Action Thriller Crime,5.7,1997
21252,nil by mouth,Ray Winstone Kathy Burke Charlie Creed-Miles Laila Morse Edna DorÃ©,Gary Oldman,violent husband underclass class drug scene addiction,128,Drama,6.4,1997
8197,midnight in the garden of good and evil,John Cusack Kevin Spacey Jude Law Alison Eastwood Jack Thompson,Clint Eastwood,drag queen voodoo savannah,155,Crime Drama Mystery Thriller,6.4,1997
11831,amistad,Morgan Freeman Nigel Hawthorne Anthony Hopkins Djimon Hounsou Matthew McConaughey,Steven Spielberg,cuba mutiny slavery sentence historical figure,155,Drama History Mystery,6.6,1997
25624,rosewood,Ving Rhames Jon Voight Don Cheadle Michael Rooker Bruce McGill,John Singleton,racial segregation,140,Drama History,6.0,1997
330,the lost world jurassic park,Jeff Goldblum Julianne Moore Pete Postlethwaite Richard Attenborough Vince Vaughn,Steven Spielberg,exotic island dna paleontology tyrannosaurus rex velociraptor,129,Adventure Action Science Fiction,6.1,1997
10871,switchback,Dennis Quaid Danny Glover R. Lee Ermey Claudia Stedelin Brent Hinkley,Jeb Stuart,loss of son serial killer train,118,Action Adventure Mystery Thriller,5.7,1997
109445,frozen,Kristen Bell Idina Menzel Jonathan Groff Josh Gad Santino Fontana,Chris Buck|Jennifer Lee,queen musical princess betrayal snowman,102,Animation Adventure Family,7.5,2013
49047,gravity,Sandra Bullock George Clooney Ed Harris Orto Ignatiussen Phaldut Sharma,Alfonso CuarÃ³n,space mission space astronaut trapped in space 3d,91,Science Fiction Thriller Drama,7.4,2013
76338,thor the dark world,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Christopher Eccleston,Alan Taylor,marvel comic comic superhero hostile takeover norse mythology,112,Action Adventure Fantasy,6.8,2013
68721,iron man 3,Robert Downey Jr. Gwyneth Paltrow Guy Pearce Don Cheadle Ben Kingsley,Shane Black,terrorist war on terror tennessee malibu marvel comic,130,Action Adventure Science Fiction,6.9,2013
75656,now you see me,Jesse Eisenberg Mark Ruffalo Woody Harrelson MÃ©lanie Laurent Isla Fisher,Louis Leterrier,paris bank secret fbi vault,115,Thriller Crime,7.3,2013
101299,the hunger games catching fire,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence,based on novel mentor secret factory television,146,Science Fiction Thriller Action Adventure,7.4,2013
106646,the wolf of wall street,Leonardo DiCaprio Jonah Hill Margot Robbie Kyle Chandler Rob Reiner,Martin Scorsese,corruption sex sexuality bank humor,180,Crime Drama Comedy,7.9,2013
68726,pacific rim,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,Guillermo del Toro,dystopia giant robot giant monster apocalypse imax,131,Action Science Fiction Adventure,6.7,2013
75612,oblivion,Tom Cruise Morgan Freeman Olga Kurylenko Andrea Riseborough Nikolaj Coster-Waldau,Joseph Kosinski,spacecraft dystopia space drone imax,126,Action Science Fiction Adventure Mystery,6.3,2013
57158,the hobbit the desolation of smaug,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson,elves dwarves orcs middle-earth (tolkien) hobbits,161,Adventure Fantasy,7.6,2013
49521,man of steel,Henry Cavill Amy Adams Michael Shannon Diane Lane Russell Crowe,Zack Snyder,saving the world dc comics superhero based on comic book superhuman,143,Action Adventure Fantasy Science Fiction,6.5,2013
152601,her,Joaquin Phoenix Scarlett Johansson Rooney Mara Amy Adams Olivia Wilde,Spike Jonze,artificial intelligence computer loneliness,126,Romance Science Fiction Drama,7.8,2013
93456,despicable me 2,Steve Carell Kristen Wiig Benjamin Bratt Miranda Cosgrove Russell Brand,Pierre Coffin|Chris Renaud,secret agent bakery falling in love father daughter relationship duringcreditsstinger,98,Animation Comedy Family,7.0,2013
